id,Hardness,allelectrons_Total,density_Total,allelectrons_Average,val_e_Average,atomicweight_Average,ionenergy_Average,el_neg_chi_Average,R_vdw_element_Average,R_cov_element_Average,zaratio_Average,density_Average
33,5.0,97.0,13.477328,12.25,4.5,24.50301875,11.340425,2.8,1.75,0.9559999999999998,0.492723125,0.66533
34,6.0,247.0,28.5031505,11.615384615384617,4.9230769230769225,24.014192817,11.055876923076925,2.7423076923076923,1.7730769230769232,0.9061538461538462,0.4971815384615385,1.86581
35,2.0,30.0,0.7567849,6.0,3.2,11.663548,12.41584,2.518,1.394,0.6639999999999999,0.695602,0.75677
36,6.0,50.0,4.073996,10.0,4.8,20.077018,10.9485,2.7060000000000004,1.6780000000000002,0.892,0.498454,0.49084
37,6.0,80.0,11.354575,14.0,5.0,30.255278375,11.026725,2.79,1.6725,0.8525,0.495275,3.17705
38,2.0,82.0,3.55,48.0,4.0,111.34115,8.65415,2.28,2.0975,1.28,0.4789899999999999,0.44035
39,6.8,106.0,11.35441075,11.6,4.8,23.5326072,10.599905,2.7030000000000003,1.765,0.899,0.490654,1.89676
40,4.8,60.0,14.22,20.0,5.333333333333333,40.93713333333333,9.159866666666668,2.356666666666667,1.913333333333333,1.18,0.4878333333333333,1.42262
41,6.0,100.0,0.8228991999999999,10.0,4.8,20.077018,11.33044,2.7060000000000004,1.6780000000000002,0.892,0.498454,0.8488
42,6.5,96.0,10.507072,12.125,4.875,24.556188775,11.218465625,2.78,1.70375,0.94,0.4927989999999999,1.35045
43,2.3,144.0,20.29466,24.4,5.2,58.30341800000001,9.65936,2.884,1.9072,1.2145,0.467568,2.53683
44,5.5,138.0,8.903332,10.0,4.8,20.077018,10.629,2.675,1.736,0.9250000000000002,0.498454,0.93386
45,6.8,114.0,24.574384,11.0,4.8,24.556188775,11.909720000000002,2.884,1.682,0.866,0.485063,1.70155
46,5.5,126.0,13.053996,15.6,4.8,31.204917046,11.14446,2.684,1.765,0.945,0.4820359999999999,2.01939
47,3.8,202.0,14.091992,20.5,4.0,47.8025,9.8771,2.24,1.8,1.04,0.477015,1.24267
48,5.5,100.0,8.109328,0.91,4.833333333333333,20.9941265318,10.838333333333331,2.6,1.7166666666666668,0.91,0.4960699999999999,0.01079
49,6.5,100.0,7.5581595,8.333333333333334,4.0,16.583821666666665,11.666308333333332,2.5725,1.5508333333333333,0.8183333333333332,0.5803358333333333,0.54957
50,2.0,144.0,21.830311,18.0,5.6,39.568056,10.13144,2.352,1.8200000000000005,1.04,0.48689715,3.87311
51,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11548
52,7.3,80.0,7.734660000000001,10.0,5.0,20.255278375,11.026725,2.79,1.6725,0.8525,0.495275,0.8229
53,2.8,100.0,8.505991999999999,10.0,4.8,20.322035645125,11.509916,2.81,1.748125,0.91,0.49282,0.6795
54,5.0,43.0,3.555328,8.4,4.8,16.862137999999998,11.95216,2.8360000000000003,1.598,0.8480000000000001,0.5982450000000001,0.65552
55,5.5,20.0,1.7428315,10.0,4.8,20.9940862215,12.0034,2.79,1.75,0.8800000000000001,0.4927359999999999,0.91457
56,6.3,30.0,1.7431599999999998,10.0,4.666666666666667,20.02735333333333,10.6397,2.7566666666666664,1.7700000000000002,0.9966666666666668,0.4850333333333334,0.77755
57,3.0,46.0,9.143996,23.0,4.0,49.204038,10.347,2.55,1.855,1.15,0.492719,1.4486
58,4.3,118.0,12.843328,9.2,4.2,18.5863611398,12.59399,2.934,1.598,0.8959999999999999,0.4930319999999999,0.70884
59,6.0,94.0,1.55316,15.666666666666664,4.666666666666667,33.97391,11.35495,2.55,1.7533333333333334,0.98,0.4881633333333333,0.75585
60,5.0,60.0,4.5453280000000005,10.0,4.666666666666667,20.3920334,12.046624,2.938333333333333,1.648333333333333,0.8800000000000001,0.4927359999999999,1.0804
61,6.0,50.0,4.542664,10.0,4.8,20.077018,11.33044,2.7060000000000004,1.6780000000000002,0.892,0.4911100000000001,0.53914
62,5.5,42.0,4.663996,8.4,4.8,17.7903568,11.79886,2.805,1.656,0.8480000000000001,0.4991960000000001,0.69411
63,5.5,80.0,11.775328000000002,13.0,4.666666666666667,27.60901666666668,11.373216666666664,2.773333333333333,1.775,0.95,0.48449,1.96919
64,5.3,90.0,11.775328000000002,18.0,4.0,39.987666666666655,11.47577,2.54,1.7533333333333332,0.98,0.4830516666666667,1.79459
65,4.0,43.0,8.42666,8.4,4.8,16.862137999999998,12.20004,2.68,1.5419999999999998,0.8808000000000001,0.6497568000000001,0.6278
66,6.4,114.0,13.747992000000002,13.4,4.4,27.188418,11.177555000000002,2.572,1.794,0.94,0.48502,2.74155
67,3.0,43.0,7.558488000000001,10.2,4.8,21.9893120372,12.39211,2.77,1.5509999999999995,0.708,0.5982450000000001,1.23121
68,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50633
69,2.5,30.0,2.3341635000000003,9.25,5.166666666666667,20.18188193025,11.749633333333335,2.765833333333333,1.7166666666666668,0.915,0.4819691666666667,0.69207
70,4.0,100.0,8.42666,10.0,4.8,20.016938,12.41584,2.934,1.654,0.774,0.4930319999999999,1.96919
71,5.5,62.0,9.509324,18.666666666666668,4.333333333333333,41.99652,11.674016666666668,2.736666666666667,1.768333333333333,0.98,0.4789183333333333,1.92652
72,2.5,38.0,0.973995,19.0,4.0,39.987666666666655,9.695,2.045,1.95,1.1800000000000002,0.49897,0.85549
73,5.0,126.0,13.35,18.0,4.0,47.98568666666667,12.0278,2.0833333333333335,1.8966666666666667,0.985,0.48273,2.70793
74,6.0,74.0,2.70174775,9.5,4.5,18.01515585,11.719925,2.7425,1.6705,0.8724999999999999,0.4946015000000001,0.72824
75,2.8,112.0,13.044328,18.666666666666668,4.0,41.99652,11.1173,2.986666666666667,1.76,0.98,0.4800083333333334,2.2928
76,1.5,46.0,2.031328,6.571428571428571,4.0,13.68940848042857,12.85996086956522,2.55,1.4814285714285713,0.6121739130434782,0.753207391304348,0.24687
77,5.5,50.0,4.663996,10.0,4.6,20.9941265318,10.73364,2.62,1.732,0.964,0.4957955,0.80454
78,5.5,30.0,1.7428315,10.0,4.0,20.3920334,11.33044,2.495,1.705,0.892,0.498454,0.8148
79,2.0,128.0,16.093996,24.5,5.5,53.4902975,9.05335,2.24,1.93,1.1800000000000002,0.4789899999999999,3.958
80,4.8,30.0,2.3326640000000003,10.0,5.0,20.185395713333328,11.223166666666666,2.89,1.7166666666666668,0.8933333333333332,0.474655,0.78534
81,2.3,96.0,15.55,48.0,4.0,116.3255,10.39875,2.24,2.015,1.1800000000000002,0.448895,7.715
82,5.5,107.0,11.463996000000002,10.7,4.6,21.82420185,10.0743,2.648,1.7795,0.946,0.4957955,0.80631
83,2.5,20.0,2.619982,8.0,4.4444444444444455,16.210698944222223,11.761321399176955,2.751111111111112,1.6700000000000002,0.8083333333333332,0.49901,0.76544
84,6.0,120.0,8.337992,12.5,4.666666666666667,26.621686666666665,11.33182,2.81,1.7700000000000002,0.98,0.4844733333333333,0.52252
85,4.5,78.0,10.179328,13.666666666666664,4.9523809523809526,27.37004333333333,12.055304761904766,2.8033333333333337,1.7100000000000002,0.8733333333333335,0.5161538095238095,1.35045
86,2.3,96.0,10.9728255,32.0,4.0,71.6571,10.39875,2.24,1.94,1.1800000000000002,0.448895,5.07625
87,2.5,68.0,8.892964,13.6,4.8,29.525338,10.78917,2.8280000000000003,1.732,0.958,0.48855,1.42396
88,2.5,66.0,13.385996,46.0,4.0,118.019,10.0743,2.53,1.925,1.165,0.457149,4.49372
89,2.0,184.0,40.61,24.5,4.5,53.4902975,10.5015125,2.25375,1.90625,0.945,0.462985,3.87311
90,2.5,112.0,13.551332,22.66666666666667,4.666666666666667,54.026915,9.350333333333332,2.1666666666666665,1.9066666666666665,1.165,0.4705633333333334,5.2515
91,6.0,100.0,5.876907999999999,10.0,4.8,20.492449117625004,11.33044,2.86625,1.6780000000000002,0.8925,0.498454,0.67922
92,2.3,130.0,13.355328,27.16666666666667,5.0,64.17666666666668,9.8771,2.9266666666666663,1.7533333333333332,1.1933333333333334,0.4704,2.22589
93,6.0,114.0,13.477328,11.3,4.5,24.556188775,11.61422,2.7380000000000004,1.7185,0.945,0.495736,1.80922
94,6.0,50.0,4.243996,10.0,4.8,20.37700576923077,11.023840000000002,2.648,1.626,0.926,0.4927189999999999,0.74511
95,2.5,311.0,47.231992,31.5,5.5,70.86454624999998,11.340425,2.53,1.87,0.945,0.4775399999999999,3.18933
96,6.0,100.0,7.558488000000001,10.0,4.8,20.2988926326,11.023840000000002,2.805,1.656,0.912,0.4927189999999999,0.80479
97,5.5,108.0,8.903332,12.0,4.0,24.808518,10.629,2.675,1.765,0.905,0.48855,1.3459
98,6.0,128.0,20.415992000000006,12.8,4.8,26.385218,11.38168,2.81,1.7400000000000002,0.86,0.49282,2.04102
99,4.8,108.0,8.841328,17.333333333333332,5.0,38.89702,11.239316666666667,2.248333333333333,1.8966666666666667,0.98,0.4729766666666666,0.97737
100,2.8,114.0,12.421,39.5,5.6,93.78445,10.73364,2.279,1.9072,1.2145,0.4673040000000001,1.50633
101,3.8,92.0,8.337992,9.2,4.8,18.439538,12.30176,2.884,1.662,0.792,0.490932,0.71879
102,6.0,100.0,8.42666,10.0,4.8,20.9941265318,10.565180000000002,2.705,1.765,0.965,0.4927989999999999,1.00627
103,2.5,100.0,5.62148,10.0,4.8,20.9941265318,10.565180000000002,2.805,1.656,0.8480000000000001,0.499,0.0
104,5.0,94.0,11.202328,14.333333333333336,5.0,33.97391,11.63995,2.545,1.72,0.92,0.4767116666666666,1.9548
105,4.3,86.0,4.542664,14.333333333333336,5.0,30.61252,11.354766666666668,2.986666666666667,1.7166666666666668,0.92,0.4865066666666666,1.50633
106,2.3,74.0,14.22,24.66666666666667,4.333333333333333,53.356,9.350333333333332,2.1466666666666665,1.89,1.19,0.46498,4.11583
107,5.8,50.0,3.253996,10.0,4.8,20.3920334,10.987245,2.755,1.705,0.974,0.491678,0.84098
108,6.0,126.0,13.385996,12.6,4.8,25.077338,11.43734,2.694,1.754,0.914,0.491678,1.61291
109,5.5,92.0,10.507072,12.5,4.0,24.808518,10.629,2.115,1.905,0.905,0.49282,1.6334
110,6.0,68.0,8.903332,14.6,4.8,29.525338,11.288,2.81,1.7400000000000002,0.86,0.490932,2.65644
111,2.8,110.0,23.0,36.66666666666666,4.333333333333333,82.59846666666667,8.504133333333334,1.9866666666666664,2.0066666666666664,1.2533333333333334,0.4568033333333333,7.66667
112,6.0,202.0,27.104327,15.2,4.4,32.38773899975,11.510862500000002,2.352,1.907,1.17,0.48752,2.16955
113,2.5,214.0,22.81264,23.5,5.2,58.30341800000001,10.99836,2.7380000000000004,1.715,0.936,0.474714,3.59589
114,2.0,112.0,13.9558185,36.0,5.6,84.1611,9.1302,2.3080000000000003,1.908,1.224,0.436875,3.57614
115,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,3.8,46.0,9.44,23.0,4.0,48.7195,9.8771,2.115,1.905,1.12,0.47888,2.40189
117,2.0,220.0,24.574384,27.6,5.2,64.9132175,11.1994,2.757,1.7420000000000002,0.928,0.461478,4.19744
118,3.0,50.0,4.243996,10.0,4.8,20.016938,12.0034,2.774,1.592,0.7380000000000001,0.55682,0.75516
119,6.0,232.0,37.0104575,11.3,4.7,24.75087845,11.10535,2.7612,1.711,0.9116666666666668,0.49512,1.24952
120,5.5,100.0,8.885992,10.0,4.8,20.077018,11.33044,2.7060000000000004,1.6780000000000002,0.892,0.498454,0.7176
121,2.3,92.0,6.697992,9.2,4.4,18.439538,11.5619,2.8680000000000003,1.7200000000000002,0.8640000000000001,0.4991960000000001,0.70884
122,4.0,74.0,4.9043280000000005,11.5,3.9166666666666665,23.033434166666662,13.652933333333332,2.7883333333333336,1.4466666666666663,0.6208333333333335,0.6598700000000001,1.0047
123,5.5,86.0,8.962995000000003,12.8,4.0,26.1647257,11.46526,2.752,1.88,0.98,0.48502,1.12928
124,6.0,56.0,7.558488000000001,11.6,4.8,22.111243,11.023840000000002,2.752,1.7380000000000002,0.946,0.492719,0.89374
125,3.8,141.0,25.494,21.0,3.2,45.2355,9.2708,2.216666666666667,1.906666666666667,1.1366666666666667,0.4053733333333333,5.52703
126,3.8,92.0,6.093996,7.4,4.2,15.69310028,11.876775,2.7775000000000003,1.592,0.7380000000000001,0.5982450000000001,0.65297
127,3.8,30.0,2.3341635000000003,6.0,3.9166666666666665,12.7015125,12.8161,2.7883333333333336,1.4508333333333334,0.62,0.61443,0.68417
128,5.3,50.0,5.60474375,8.888888888888891,4.4444444444444455,17.994228864222222,11.271522222222226,2.7044444444444444,1.5509999999999995,0.8044444444444444,0.5502422222222223,0.65552
129,6.0,242.0,34.723984,12.5,4.5,24.556188775,11.509916,2.7845,1.7200000000000002,0.8649999999999999,0.485063,1.00244
130,7.0,100.0,7.143328,10.0,5.0,20.3920334,12.30176,2.7270000000000003,1.767,0.8399999999999999,0.499514,0.65972
131,2.5,100.0,5.203996,10.0,4.8,20.2988926326,12.04083,2.755,1.6310000000000002,0.91,0.492719,0.67922
132,5.5,106.0,11.775328000000002,17.333333333333332,4.5,39.180980333,10.347,2.2225,1.8966666666666667,1.11,0.4894800000000001,1.7909
133,5.5,46.0,7.44274775,12.0,4.0,24.50301875,11.1479375,2.705,1.79,0.945,0.4927359999999999,1.775
134,6.0,72.0,5.230979499999999,8.4,4.8,16.862137999999998,11.79886,2.755,1.6310000000000002,0.8133333333333335,0.499726,0.68199
135,5.5,515.0,36.244299,10.4,4.3,21.9893120372,10.857620000000002,2.5696000000000003,1.7666,0.928,0.4930319999999999,0.86162
136,3.0,208.0,11.35441075,9.5,4.0,18.5465357192,11.974778125,2.7275,1.5475,0.7124999999999999,0.5793175,0.89374
137,7.8,76.0,15.751995999999998,12.6,4.4,26.385218,11.33182,2.7960000000000003,1.7280000000000002,0.8800000000000001,0.4862359999999999,1.0804
138,6.3,116.0,21.575328,38.66666666666666,4.0,92.69733333333332,11.1173,2.33,1.906666666666667,1.1366666666666667,0.4515899999999999,3.01757
139,2.0,0.0,0.703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49901,0.80454
140,1.5,100.0,30.2908235,50.0,4.666666666666667,117.386335,10.776008333333332,2.5660000000000003,2.055,1.1800000000000002,0.47888,7.7439
141,3.8,74.0,12.421,24.0,4.8,49.496,9.4533,2.279,1.9072,1.2145,0.4743239999999999,4.08822
142,5.5,246.0,23.576975,23.5,4.25,54.501263666333344,9.273855,2.18,1.9425,1.3,0.467568,3.87311
143,2.5,240.0,54.207322,34.285714285714285,3.7142857142857135,77.36308571428572,8.916714285714287,2.657142857142857,1.9085714285714288,1.3257142857142856,0.4375828571428572,6.0674
144,6.0,98.0,8.228992,9.0,4.0,19.705225,10.75912,2.675,1.736,0.926,0.498984,0.7958
145,2.5,74.0,14.22,24.66666666666667,4.333333333333333,53.05033333333333,9.3432,2.1266666666666665,1.906666666666667,1.15,0.4621833333333333,4.57578
146,2.5,124.0,15.55,20.33333333333333,5.0,46.44374833333333,11.252966666666666,2.7466666666666666,1.7700000000000002,0.98,0.4767116666666666,2.78022
147,5.5,120.0,10.507072,12.0,4.0,24.847737,11.533816666666668,2.225,1.905,0.965,0.4836016666666667,1.62125
148,1.8,96.0,15.55,48.0,4.0,116.3255,10.39875,2.24,2.015,1.1800000000000002,0.448895,7.775
149,2.8,235.0,60.67400000000001,23.6,5.6,58.30341800000001,11.61422,2.884,1.736,0.944,0.467568,5.0988
150,6.0,100.0,8.885992,10.0,4.8,20.185395713333328,11.026725,2.79,1.717,0.945,0.495736,0.87067
151,6.5,100.0,5.876743749999998,10.0,4.0,20.255278375,13.040525,2.79,1.59,0.9825,0.495275,0.59237
152,5.5,100.0,6.25674375,9.384615384615383,4.307692307692308,18.476234615384616,11.534753846153846,2.6784615384615384,1.626923076923077,0.7876923076923077,0.5743408000000001,0.77561
153,2.8,116.0,7.734660000000001,11.6,4.0,24.556188775,10.99836,2.81,1.81,0.86,0.49282,1.38084
154,6.0,278.0,26.731324,28.83333333333333,5.166666666666667,68.70049999999999,11.180966666666668,2.279,1.7166666666666668,0.9266666666666667,0.4663883333333334,4.28689
155,3.5,92.0,3.883996,9.2,4.8,18.439538,11.95216,2.8680000000000003,1.656,0.8480000000000001,0.4991960000000001,0.53898
156,2.5,220.0,24.574384,25.2,5.6,58.30341800000001,11.16682,2.298,1.9072,0.908,0.4743239999999999,2.78022
157,6.0,120.0,8.841328,10.0,4.833333333333333,20.9941265318,10.565180000000002,2.86,1.8166666666666669,0.9016666666666668,0.4960699999999999,0.80454
158,5.5,38.0,4.542664,12.666666666666664,4.666666666666667,26.621686666666665,11.354766666666668,2.7566666666666664,1.765,0.9666666666666668,0.4836016666666667,2.58333
159,3.8,30.0,2.70174775,7.5,4.0,14.996859625,12.0278,2.545,1.495,0.71,0.6184925,0.69605
160,4.0,64.0,10.803992,12.0,4.8,24.50301875,9.706,2.53,1.7420000000000002,0.9559999999999998,0.49901,0.86614
161,3.8,116.0,7.558488,10.5,4.8,20.2988926326,12.04083,2.81,1.75,0.96,0.499726,0.77752
162,5.0,100.0,7.558488000000001,10.0,4.8,20.016938,12.30176,2.708,1.6780000000000002,0.882,0.4927189999999999,0.86724
163,2.8,127.0,25.721328,31.1,4.25,70.86454624999998,9.273855,1.985,1.9075,1.2,0.4628675,6.44467
164,2.8,92.0,7.957992,9.2,4.8,18.5863611398,11.95216,2.904,1.662,0.914,0.4690149999999999,0.69519
165,6.3,278.0,26.917984,13.9,4.65,29.680678624999995,10.987245,2.6495,1.8590000000000004,1.04,0.4862650000000001,1.2398
166,2.5,150.0,23.348983,30.5,5.6,67.9394,9.65936,2.8280000000000003,1.794,1.028,0.466938,3.3354
167,6.0,122.0,14.091992,12.2,4.8,24.556188775,10.75912,2.8280000000000003,1.754,0.928,0.496167,1.4486
168,2.5,228.0,21.153992,23.2,5.8,49.204038,11.14446,2.8280000000000003,1.732,0.928,0.4673040000000001,3.492
169,2.8,98.0,7.957992,9.2,4.8,19.8565257,10.93895,2.7030000000000003,1.6980000000000002,0.866,0.49901,1.69886
170,2.0,196.0,30.22332,24.5,5.5,53.4902975,11.2603,2.24,1.8200000000000005,1.16,0.467568,3.11002
171,7.0,80.0,7.734660000000001,10.0,5.0,20.255278375,11.026725,2.79,1.6725,0.8525,0.495275,0.96683
172,6.5,127.0,10.9728255,10.111111111111107,4.4444444444444455,20.65142388888889,11.196122222222224,2.6927777777777777,1.5733333333333333,0.7944444444444445,0.5462611111111111,1.38697
173,2.5,88.0,27.104327,44.0,5.0,108.295515,9.251425,2.03,1.955,1.2375,0.429675,9.54775
174,6.5,80.0,7.734660000000001,10.0,5.0,20.255278375,11.026725,2.79,1.6725,0.8525,0.495275,0.77525
175,5.75,98.0,8.505991999999999,10.8,4.8,21.654418,11.17714,2.675,1.736,0.926,0.498984,0.78534
176,3.8,100.0,20.29466,20.0,4.0,47.8025,11.2603,2.115,1.905,1.12,0.47888,3.31333
177,1.5,46.0,8.888992,11.6,4.0,25.077338,10.629,2.5860000000000003,1.68,0.914,0.491678,0.68988
178,2.0,30.0,1.741332,10.0,4.8,20.213348778,11.20276,2.7270000000000003,1.767,0.91,0.48855,0.52252
179,5.5,122.0,11.202328,20.666666666666668,4.666666666666667,46.44374833333333,11.63995,2.901666666666667,1.72,0.92,0.4767116666666666,2.54439
180,2.5,100.0,15.604,21.0,4.0,50.0,13.652933333333332,1.99,2.0933333333333333,1.3633333333333333,0.42632,0.0
181,5.8,63.0,13.385996,12.5,4.8,26.385218,11.28095,2.81,1.732,0.9,0.49282,1.51422
182,6.0,250.0,34.723984,12.2,4.8,24.75087845,11.107295,2.73065,1.7420000000000002,0.8724999999999999,0.4912240000000001,1.7362
183,5.5,114.0,17.92724225,14.24,4.44,30.341818,12.046624,2.7136,1.7200000000000002,0.928,0.485951,1.47116
184,6.0,100.0,8.903332,10.0,4.8,20.213348778,10.75912,2.572,1.7420000000000002,0.8959999999999999,0.4927989999999999,0.73461
185,5.5,72.0,9.143996,14.4,5.6,30.341818,10.75912,2.884,1.736,0.914,0.477854,1.8688
186,3.8,92.0,7.441332000000001,9.2,4.8,18.439538,11.79886,2.805,1.656,0.8480000000000001,0.4991960000000001,0.99413
187,5.0,42.0,2.071324,7.5,4.0,14.996859625,11.1479375,2.71,1.52,0.71,0.4826418750000001,0.76486
188,5.8,206.0,16.074151500000003,9.761904761904765,4.0,19.60323566952381,11.495790476190471,2.5545238095238103,1.6990476190476191,0.8600000000000001,0.5148823809523809,0.53649
189,6.0,58.0,3.883996,11.6,4.8,23.231818,11.023840000000002,2.59,1.7520000000000002,0.8320000000000001,0.49901,0.7854
190,2.3,20.0,0.973995,10.0,4.0,20.9940862215,10.347,2.455,1.87,0.98,0.49897,0.94589
191,2.0,464.0,38.915299,6.0,4.8,12.0096,11.70255,2.904,1.66,0.782,0.5570996000000001,1.00104
192,2.0,410.0,32.807971,22.13888888888889,4.333333333333333,46.10422777777778,10.686195833333334,2.4891666666666663,1.84875,1.02,0.478705,5.2085
193,5.5,100.0,6.093996,10.0,4.8,20.016938,11.61422,2.934,1.656,0.944,0.498984,0.65972
194,6.0,108.0,8.885992,10.8,4.8,21.654418,11.33044,2.7060000000000004,1.6780000000000002,0.892,0.498984,0.88802
195,5.5,163.0,20.3188215,10.375,4.125,22.206043325,11.0975047,2.6184,1.788125,0.94625,0.4923949999999999,0.75796
196,5.5,58.0,3.555328,9.666666666666666,4.0,19.397353333333328,12.10535,2.953333333333333,1.625,0.9183333333333332,0.4987149999999999,0.85358
197,5.5,249.0,27.432984,12.25,4.75,24.556188775,10.78917,2.53,1.7199999999999998,0.945,0.4927989999999999,1.13436
198,4.0,20.0,0.97258,10.0,4.0,20.9940862215,11.28095,2.55,1.75,0.92,0.49901,0.7768
199,5.5,144.0,21.153992,14.4,4.4,30.341818,11.33182,2.8280000000000003,1.705,0.8800000000000001,0.4862359999999999,2.06989
200,5.75,222.0,17.623983999999997,11.2,4.8,23.099694928,12.33182,2.77,1.6950000000000005,0.7859999999999999,0.478464,0.8229
201,6.0,122.0,14.22,12.5,4.5,24.654186666666664,9.138583333333331,2.2225,1.7166666666666668,0.965,0.4878333333333333,1.69886
202,3.8,20.0,0.9701199999999999,10.0,4.0,20.9940862215,9.8771,2.115,1.905,1.12,0.4987149999999999,0.74015
203,2.0,228.0,24.574384,27.6,5.6,65.56541800000001,11.90626,2.3080000000000003,1.904,0.914,0.4618992,3.11002
204,5.5,120.0,10.048324,10.0,4.666666666666667,20.185395713333328,10.711958333333332,2.4891666666666663,1.7133333333333336,0.9183333333333332,0.4948558333333333,0.96683
205,2.0,46.0,11.35599,23.0,4.0,49.496,9.1302,2.165,1.905,1.12,0.47888,5.0988
206,6.0,80.0,12.902,13.333333333333336,4.666666666666667,27.44881366633333,11.33182,2.8316666666666666,1.7333333333333334,0.8866666666666666,0.48527,1.79976
207,6.3,126.0,21.830311,15.2,4.8,33.739258,11.14446,2.684,1.7420000000000002,0.928,0.4820359999999999,2.9768
